iso_codes,n_feat,cwals_new,id,genus,name
est,13,0.615384615,est,Finnic,Estonian
esu,22,0.79004329,ych,Eskimo,Yup'ik (Chevak)
eus,28,0.619047619,bqb,Basque,Basque (Bidasoa Valley)
eve,9,0.666666667,evn,Tungusic,Even
evn,27,0.716049383,eve,Tungusic,Evenki
ewe,24,0.326388889,ewa,Kwa,Ewe (Anglo)
ewo,9,0.444444444,ewo,Bantoid,Ewondo
faa,4,1,fas,Fasu,Fasu
fao,3,0.333333333,far,Germanic,Faroese
fij,25,0.22,fij,Oceanic,Fijian
fin,26,0.435897436,fin,Finnic,Finnish
fla,10,0.571428571,kls,Interior Salish,Kalispel
fon,5,0.2,fon,Kwa,Fongbe
for,5,0.8,for,Eastern Highlands,Fore
fos,1,1,sry,East Formosan,Siraya
fqs,5,0.6,fqs,Baibai-Fas,Momu
fra,26,0.381410256,fre,Romance,French
frs,5,0.133333333,fea,Germanic,Frisian (Eastern)
fry,1,0,frw,Germanic,Frisian (Western)
fub,16,0.770833333,fua,Peul-Serer,Fulfulde (Adamawa)
fud,2,0,fue,Oceanic,Futuna (East)
fuf,1,1,fgu,Peul-Serer,Fula (Guinean)
fun,6,1,ful,Yatê,Fulniô
fut,11,0.181818182,fut,Oceanic,Futuna-Aniwa
fuu,7,0.571428571,bgr,Bongo-Bagirmi,Bagiro
fvr,15,0.528571429,fur,NA,Fur
gaa,6,0.5,ga,Kwa,Gã
gae,11,0.818181818,wrk,Alto-Orinoco,Warekena
gag,1,1,gag,Turkic,Gagauz
gah,10,1,gah,Eastern Highlands,Gahuku
gaj,7,0.857142857,gds,Eastern Highlands,Gadsup
gbd,4,0.75,krj,Western Pama-Nyungan,Karadjeri
gbi,1,0,gll,North Halmaheran,Galela
gbp,9,0.481481481,gbb,Gbaya-Manza-Ngbaka,Gbeya Bossangoa
gbr,6,0,gwa,Nupoid,Gwari
gbu,6,0.566666667,gaa,NA,Gaagudju
gcd,11,0.636363636,yuk,Tangkic,Yukulta
gdb,1,1,gdk,Central Dravidian,Gadaba (Kondekor)
gde,10,0.5,gud,Biu-Mandara,Gude
gdm,8,0.5,laa,NA,Laal
gdo,8,0.729166667,god,Avar-Andic-Tsezic,Godoberi
gdq,11,0.527272727,meh,Semitic,Mehri
geb,1,1,kie,Mikarew,Kire
gey,2,1,eny,Bantoid,Enya
gge,3,0.666666667,grg,Burarran,Gurr-goni
ggn,9,0.444444444,NA,NA,NA
ggo,8,0.625,NA,NA,NA
ggw,2,1,gog,Gogodala,Gogodala
ghs,4,0.75,guh,Binanderean,Guhu-Samane
gil,19,0.421052632,krb,Oceanic,Kiribati
gis,2,0.5,NA,NA,NA
git,3,0.666666667,git,Tsimshianic,Gitksan
giz,2,0.5,NA,NA,NA
gju,2,1,goj,Indic,Gojri
gkn,9,0.222222222,gok,Cross River,Gokana
gla,11,0.386363636,gae,Celtic,Gaelic (Scots)
gld,2,0.416666667,nai,Tungusic,Nanai
gle,21,0.35600907,ird,Celtic,Irish (Donegal)
glg,1,1,glc,Romance,Galician
glk,4,0.5,gil,Iranian,Gilaki
glu,6,0.166666667,gul,Bongo-Bagirmi,Gula (in Central African Republic)
glv,1,0.333333333,mnx,Celtic,Manx
gmm,5,0.6,mdo,Gbaya-Manza-Ngbaka,Mbodomo
gmv,4,1,gam,North Omotic,Gamo
gni,23,0.572463768,goo,Bunuban,Gooniyandi
gnn,1,1,gmt,Western Pama-Nyungan,Gumatj
gno,8,0.625,NA,NA,NA
gnr,6,0.666666667,ggu,Southeastern Pama-Nyungan,Gureng Gureng
god,1.5,0.625,ddj,Kru,Dadjriwalé
gol,1,1,gol,Mel,Gola
gpn,2,0.625,tap,Gapun,Taiap
gqa,3,1,gnd,Biu-Mandara,Ga'anda
grj,25,0.413333333,grb,Kru,Grebo
grt,23,0.606832298,gar,Bodo-Garo,Garo
gru,3,1,sod,Semitic,Soddo
gso,6,0.666666667,gbs,Gbaya-Manza-Ngbaka,Gbaya (Southwest)
gta,1,1,gto,NA,Guató
gub,5,0.6,gjj,Tupi-Guaraní,Guajajara
guc,6,0.833333333,goa,Caribbean Arawakan,Goajiro
gug,23,0.414492754,gua,Tupi-Guaraní,Guaraní
gui,1,0.666666667,crg,Tupi-Guaraní,Chiriguano
guj,7,0.571428571,guj,Indic,Gujarati
guk,8,0.75,gmz,NA,Gumuz
gup,12,0.579166667,bbw,Gunwinygic,Bininj Gun-Wok
guz,1,1,gus,Bantoid,Gusii
gvf,9,0.555555556,gln,Chimbu,Golin
gvn,11,0.539393939,kya,Northern Pama-Nyungan,Kuku-Yalanji
gvo,2,0.5,gav,Monde,Gavião
gvr,9,0.444444444,NA,NA,NA
gvs,11,0.545454545,gmw,Oceanic,Gumawana
gwd,1,1,dug,Lowland East Cushitic,Dullay (Gollango)
gww,8,0.5,gnn,Worrorran,Gunin
gya,2,0,gbk,Gbaya-Manza-Ngbaka,Gbaya (Northwest)
gyb,3,0.666666667,grs,Madang,Garus
gyd,26,0.474358974,kay,Tangkic,Kayardild
gym,8,0.583333333,nbr,Guaymiic,Ngäbere
gyy,1,1,gny,Northern Pama-Nyungan,Gunya
had,15,0.346666667,hat,Hatam,Hatam
hae,27,0.444356261,orh,Lowland East Cushitic,Oromo (Harar)
hak,1,1,hak,Chinese,Hakka
har,1,1,hrr,Semitic,Harari
hau,28,0.264880952,hau,West Chadic,Hausa
haw,18,0.166666667,haw,Oceanic,Hawaiian
hax,22,0.46969697,NA,NA,NA
hay,5,0.866666667,hya,Bantoid,Haya
hch,8,1,hui,Corachol,Huichol
hdn,22,0.46969697,hno,Haida,Haida (Northern)
heb,27,0.478395062,hba,Semitic,Hebrew (Modern Ashkenazic)
heh,2,1,heh,Bantoid,Hehe
hei,1,1,hei,Northern Wakashan,Heiltsuk
hem,1,1,hem,Bantoid,Hemba
her,2,0.5,her,Bantoid,Herero
hia,10,0.46,lmg,Biu-Mandara,Lamang
hid,5,0.8,hid,Core Siouan,Hidatsa
hil,3,0.333333333,hil,Greater Central Philippine,Hiligaynon
hin,25,0.483333333,hin,Indic,Hindi
hix,27,0.442592593,hix,Cariban,Hixkaryana
hke,10,0.8,hnd,Bantoid,Hunde
hla,9,0.444444444,hal,Oceanic,Halia
hmr,7,0.371428571,hma,Kuki-Chin,Hmar
hmt,15,0.766666667,ham,Angan,Hamtai
hna,4,0.25,hna,Biu-Mandara,Mina
hnh,4,0.375,ani,Khoe-Kwadi,//Ani
hnj,24,0.048611111,NA,NA,NA
hoa,7,0.285714286,hoa,Oceanic,Hoava
hoc,5,0.8,ho,Munda,Ho
hoo,1,1,hol,Bantoid,Holoholo
hop,7,0.857142857,hop,Hopi,Hopi
hrc,3,0.111111111,tga,Oceanic,Tangga
hrv,15,0.438095238,NA,NA,NA
hsb,2,0.833333333,sou,Slavic,Sorbian (Upper)
hto,16,0.732142857,hmi,Huitoto,Huitoto (Minica)
hun,28,0.523809524,hun,Ugric,Hungarian
hup,8,0.625,hup,Athapaskan,Hupa
hur,4.5,0.357142857,hli,Central Salish,Halkomelem (Island)
hus,9,0.222222222,htc,Mayan,Huastec
huu,6,0.833333333,hum,Huitoto,Huitoto (Murui)
huv,12,0.472222222,hve,Huavean,Huave (San Mateo del Mar)
hux,1,0.5,hmu,Huitoto,Huitoto (Muinane)
huz,23,0.710144928,hzb,Avar-Andic-Tsezic,Hunzib
hvn,4,0.333333333,saw,Central Malayo-Polynesian,Sawu
hwc,3,0.444444444,hwc,Creoles and Pidgins,Hawaiian Creole
hye,19,0.661630037,arm,Armenian,Armenian (Eastern)
iai,16,0.1875,iaa,Oceanic,Iaai
ian,1,1,iat,Ndu,Iatmul
iba,10,0,iba,Malayo-Sumbawan,Iban
ibd,2,1,iwa,Iwaidjan,Iwaidja
ibo,17,0.294117647,igb,Igboid,Igbo
idu,2,0.166666667,ido,Idomoid,Idoma
ifb,4,0.75,ifu,Northern Luzon,Ifugao (Batad)
ifm,3,0.333333333,ifm,Bantoid,Ifumu
igb,1,0,ebi,Nupoid,Ebira
ige,2,0.5,ige,Idomoid,Igede
ign,6,0.666666667,ign,Bolivia-Parana,Ignaciano
ihp,2,1,iha,West Bomberai,Iha
ijc,11,0.772727273,ijo,Ijoid,Ijo (Kolokuma)
ike,3,0.555555556,ins,Eskimo,Inuktitut (Salluit)
ikx,9,0.777777778,ik,Kuliak,Ik
ilb,6,1,ila,Bantoid,Ila
ilo,2,0.5,ilo,Northern Luzon,Ilocano
imi,5,1,amx,Madang,Anamuxra
imn,24,0.391865079,imo,Border,Imonda
ind,28,0.26547619,ind,Malayo-Sumbawan,Indonesian
inh,22,0.613636364,ing,Nakh,Ingush
inz,2,0.5,cin,Chumash,Chumash (Ineseño)
iqu,9,0.5,iqu,Zaparoan,Iquito
irh,6,0.5,irr,South Halmahera - West New Guinea,Irarutu
irk,20,0.4625,irq,Southern Cushitic,Iraqw
irn,6,0.5,irx,NA,Iranxe
isi,5,0.2,nke,Bantoid,Nkem
isl,19,0.417293233,ice,Germanic,Icelandic
ita,17,0.362745098,ifi,Romance,Italian (Fiorentino)
itl,10,0.5,ite,Southern Chukotko-Kamchatkan,Itelmen
ito,5,0.8,ito,NA,Itonama
its,3,0,ise,Defoid,Isekiri
itz,3,0.666666667,itz,Mayan,Itzaj
ium,7,0,mie,Hmong-Mien,Mien
iwm,2,0.5,iwm,Upper Sepik,Iwam
ixl,2,1,ixi,Mayan,Ixil
izz,9,0.333333333,izi,Igboid,Izi
jaa,1,1,bna,Arauan,Banawá
jac,26,0.420512821,NA,NA,NA
jae,9,0.62962963,jab,Oceanic,Jabêm
jai,26,0.420512821,NA,NA,NA
jao,4,0.8,yny,Western Pama-Nyungan,Yanyuwa
jaq,2,1,yqy,Marind,Yaqay
jar,4,0.5,jar,Bantoid,Jarawa (in Nigeria)
jav,3,0,jav,Javanese,Javanese
jbj,1,1,ard,South Bird's Head Proper,Arandai
jbt,1,1,jbt,Jabutí,Jabutí
jbu,8,0.125,juk,Platoid,Jukun
jeb,8,1,jeb,Cahuapanan,Jebero
jei,2,0.5,yei,Morehead and Upper Maro Rivers,Yei
jel,2,0.5,ylm,Bulaka River,Yelmek
jet,1,1,mem,Border,Manem
jic,2,0.5,tol,NA,Tol
jig,7,0.8,dji,Djingili,Djingili
jiu,2,0,NA,NA,NA
jiv,8,0.791666667,jiv,Jivaroan,Jivaro
jiy,2,0,NA,NA,NA
jle,4,0.75,msk,Talodi,Masakin
jpn,27,0.40952381,jpn,NA,Japanese
jqr,13,0.846153846,jaq,Aymaran,Jaqaru
jup,6,0.833333333,hpd,Nadahup,Hup
jya,4.5,1,gyc,rGyalrong,Gyarong (Cogtse)
kaa,7,0.857142857,kkp,Turkic,Karakalpak
kab,1,0.333333333,kbl,Berber,Kabyle
kac,10,0,jng,Jingpho,Jingpho
kah,6,0.666666667,kar,Bongo-Bagirmi,Kara (in Central African Republic)
kal,14,0.830687831,gre,Eskimo,Greenlandic (East)
kam,6,0.833333333,kba,Bantoid,Kamba
kan,26,0.596703297,knd,Southern Dravidian,Kannada
kao,5,0.2,xas,Western Mande,Xasonga
kap,1,1,bez,Avar-Andic-Tsezic,Bezhta
kaq,1,0.5,cap,Panoan,Capanahua
kas,10,0.467857143,kas,Indic,Kashmiri
kat,25,0.561904762,geo,Kartvelian,Georgian
kay,12,0.7,kma,Tupi-Guaraní,Kamaiurá
kaz,1,0,kaz,Turkic,Kazakh
kbc,5,0.8,kdw,Kadiwéu,Kadiwéu
kbd,8,1,kab,Northwest Caucasian,Kabardian
kbh,5,1,cam,NA,Camsá
kbk,3,0.444444444,koi,Koiarian,Koiari
kbl,5,1,kbu,Western Saharan,Kanembu
kbp,2,0.5,kby,Southern-Central Gur,Kabiyé
kbv,4,0.857142857,der,Senagi,Dla (Proper)
kbx,2,1,kbo,Botin,Kambot
kca,13,0.56043956,kty,Ugric,Khanty
kcd,1,0,knp,Morehead and Upper Maro Rivers,Kanum (Ngkâlmpw)
kcg,3,0.333333333,gwo,Platoid,Gworok
kcn,1,1,nub,Creoles and Pidgins,Nubi
kcr,6,0.833333333,ktl,Katla-Tima,Katla
kct,2,0.5,kai,Lower Ramu,Kaian
kcu,1,1,kmi,Bantoid,Kami
kcv,2,0.5,kte,Bantoid,Kete
kdd,2,1,ynk,Western Pama-Nyungan,Yankuntjatjara
kde,2,1,mkd,Bantoid,Makonde
kdh,4,0.75,tem,Southern-Central Gur,Tem
kdj,9,0.555555556,kmj,Nilotic,Karimojong
kdr,1,1,krm,Turkic,Karaim
kee,7,0.857142857,ksa,Keresan,Keresan (Santa Ana)
kei,1,0,kei,Central Malayo-Polynesian,Kei
ken,1,1,kyg,Bantoid,Kenyang
ker,16,0.34375,ker,East Chadic,Kera
ket,24,0.548611111,ket,Yeniseian,Ket
kew,25,0.515238095,NA,NA,NA
kfa,3,0.8,kod,Southern Dravidian,Kodava
kfb,13,0.634615385,NA,NA,NA
kfc,1,1,kda,South-Central Dravidian,Konda
kff,6,1,koy,South-Central Dravidian,Koya
kfk,6,0.666666667,knn,Bodic,Kinnauri
kfq,7,0.628571429,kku,Munda,Korku
kfy,4,0.75,kum,Indic,Kumauni
kfz,23,0.34057971,kfe,Northern-Central Gur,Koromfe
kgg,2,1,kus,NA,Kusunda
kgj,11,0.818181818,kmh,Mahakiranti,Kham
kgo,25,0.388571429,kro,Kadugli,Krongo
kgp,3,0.333333333,kng,Ge-Kaingang,Kaingang
kgq,5,1,kmr,Asmat-Kamoro,Kamoro
kgr,10,0,abu,North-Central Bird's Head,Abun
kgs,8,0.625,gum,Southeastern Pama-Nyungan,Gumbaynggir
kgy,3,1,kgy,Bodic,Kyirong
kha,22,0.140151515,khs,Khasian,Khasi
khc,26,0.365384615,NA,NA,NA
khd,2,0.5,knb,Morehead and Upper Maro Rivers,Kanum (Bädi)
khe,10,0.84,krw,Awju-Dumut,Korowai
khg,2,1,khd,Bodic,Kham (Dege)
khk,27,0.455202822,kha,Mongolic,Khalkha
khl,11,0.636363636,kkv,Oceanic,Lusi
khm,22,0.118181818,khm,Khmer,Khmer
khq,13,0.115384615,kch,Songhay,Koyra Chiini
khr,6,0.333333333,khr,Munda,Kharia
khw,1,1,khw,Indic,Khowar
kic,1,0,kic,Algonquian,Kickapoo
kig,7,0.047619048,kim,Kolopom,Kimaghama
kij,22,0.454545455,klv,Oceanic,Kilivila
kik,11,0.696969697,kik,Bantoid,Kikuyu
kin,6,0.666666667,kin,Bantoid,Kinyarwanda
kio,24,0.666666667,kio,Kiowa-Tanoan,Kiowa
kir,8,0.75,kfy,Turkic,Kirghiz (Fu-Yu)
kjc,1,1,kjo,South Sulawesi,Konjo
kjd,6,0.722222222,kiw,Kiwaian,Kiwai (Southern)
kjg,19,0.013157895,kmu,Khmuic,Khmu'
kjh,3,0.333333333,khk,Turkic,Khakas
kjj,5,0.8,khi,Lezgic,Khinalug
kjn,1,1,kjn,Northern Pama-Nyungan,Kunjen
kjq,25,0.477333333,aco,Keresan,Acoma
kjs,25,0.515238095,NA,NA,NA
kju,1,1,ksh,Pomoan,Kashaya
kki,4,1,kgr,Bantoid,Kagulu
kkk,9,0.111111111,kkt,Oceanic,Kokota
kkl,4,1,yal,Mek,Yale (Kosarek)
kky,11,0.454545455,guu,Northern Pama-Nyungan,Guugu Yimidhirr
kla,10,0.533333333,klm,Klamath-Modoc,Klamath
klb,7,0.857142857,klw,Yuman,Kiliwa
kld,10,0.5,gml,Southeastern Pama-Nyungan,Gamilaraay
kle,4,1,klg,Mahakiranti,Kulung
klj,11,0.545454545,khl,Turkic,Khalaj
kln,14,0.738095238,nan,Nilotic,Nandi
klq,6,0.5,rum,Turama-Kikorian,Rumu
klr,9,0.777777778,khg,Mahakiranti,Khaling
kls,1,1,klh,Indic,Kalasha
klu,2,0.5,kla,Kru,Klao
kma,7,0.714285714,kni,Northern-Central Gur,Konni
kmc,4,0,don,Kam-Tai,Dong (Southern)
kmg,2,0.266666667,kat,Finisterre-Huon,Kâte
kmh,2,0.5,klq,Madang,Kalam
kmj,2,0.2,mto,Northern Dravidian,Malto
kmn,12,0.416666667,awt,Ram,Awtuw
kmo,9,0.555555556,kwo,Nukuma,Kwoma
kmr,5,0.666666667,kji,Iranian,Kurmanji
kms,7,0.285714286,kmz,Marienberg,Kamasau
kna,11,0.606060606,knk,West Chadic,Kanakuru
knc,26,0.617216117,knr,Western Saharan,Kanuri
kng,16,0.510416667,fio,Bantoid,Fiote
knj,1,1,kwe,Mayan,Kanjobal (Western)
knm,6,0.666666667,cnm,Katukinan,Canamarí
knn,2,0.666666667,kkn,Indic,Konkani
kny,1,1,kyo,Bantoid,Kanyok
koe,1,1,blj,Surmic,Baale
koi,7,0.857142857,kop,Permic,Komi-Permyak
kor,25,0.395238095,kor,NA,Korean
kos,11,0.272727273,kos,Oceanic,Kosraean
kot,6,0.833333333,lag,Biu-Mandara,Lagwan
koy,1,0,kyn,Athapaskan,Koyukon
kpj,3,1,jva,Karajá,Karajá
kpm,2,0.5,sre,Bahnaric,Sre
kpo,3,1,kpo,Kwa,Kposo
kps,1,0.333333333,tht,West Bird's Head,Tehit
kpt,1,0.333333333,krt,Avar-Andic-Tsezic,Karata
kpv,3,0.333333333,kzy,Permic,Komi-Zyrian
kpw,22,0.442424242,kob,Madang,Kobon
kpx,7,1,kmo,Koiarian,Koiali (Mountain)
kpy,7,0.571428571,kry,Northern Chukotko-Kamchatkan,Koryak
kpz,3,1,seb,Nilotic,Sebei
kqi,5,1,kta,Koiarian,Koita
kqs,13,0.435897436,NA,NA,NA
kqz,13,0.384615385,krn,Khoe-Kwadi,Korana
krc,9,0.777777778,krc,Turkic,Karachay-Balkar
krk,1,1,krq,Northern Chukotko-Kamchatkan,Kerek
krs,8,0.5,kre,Kresh,Kresh
ksb,7,0.857142857,shm,Bantoid,Shambala
ksd,11,0.136363636,tla,Oceanic,Tolai
ksf,2,0.5,bfi,Bantoid,Bafia
ksi,8,0.125,isa,Krisa,I'saka
kss,13,0.435897436,kss,Mel,Kisi (Southern)
kst,1,0.333333333,kow,Southern-Central Gur,Ko (Winye)
ksw,7,0.023809524,ksg,Karen,Karen (Sgaw)
ktd,6,0.722222222,gug,Western Pama-Nyungan,Gugada
ktg,5,0.78,kgu,Northern Pama-Nyungan,Kalkatungu
ktn,1,0.5,kna,Arikem,Karitiâna
kto,8,0.5,kuo,NA,Kuot
ktw,1,1,kto,Athapaskan,Kato
ktz,25,0.186666667,juh,Ju-Kung,Ju|'hoan
kue,5,0.8,kmn,Chimbu,Kuman
kum,1,1,kuq,Turkic,Kumyk
kun,18,0.697089947,knm,NA,Kunama
kup,8,0.875,kmp,Goilalan,Kunimaipa
kut,28,0.311904762,kut,NA,Kutenai
kuy,2,0.5,kuu,Northern Pama-Nyungan,Kuuku Ya'u
kuz,1,1,atm,Kunza,Atacameño
kva,1,1,bgv,Avar-Andic-Tsezic,Bagvalal
kvd,1,0.333333333,kiu,Greater Alor,Kui (in Indonesia)
kvg,4,0.833333333,boa,Marind,Boazi
kvn,1,1,kun,Kuna,Kuna
kvv,1,1,koo,Central Malayo-Polynesian,Kola
kvw,1,0,kln,Kolana-Tanglapui,Kolana
kwa,3,1,daw,Nadahup,Dâw
kwd,7,0.228571429,kwa,Oceanic,Kwaio
kwi,25,0.56,awp,Barbacoan,Awa Pit
kwk,5,1,kwk,Northern Wakashan,Kwakw'ala
kwn,9,0.555555556,kwn,Bantoid,Kwangali
kwo,8,0.625,kwt,NA,Kwomtari
kwy,3,0.666666667,kwy,Bantoid,Iwoyo
kxa,9,0.333333333,krr,Oceanic,Kairiru
kxu,6,0.388888889,kui,South-Central Dravidian,Kui (in India)
kxv,7,0.857142857,kuv,South-Central Dravidian,Kuvi
kyc,8,0.5,kyk,Engan,Kyaka
kyh,23,0.541407867,krk,NA,Karok
kyq,6,0.666666667,ken,Bongo-Bagirmi,Kenga
kyx,1,0.333333333,knu,West Bougainville,Konua
kyz,4,0.75,kyz,Tupi-Guaraní,Kayabí
kza,7,0.619047619,tny,Senufo,Tenyer
kzj,3,0.333333333,kdz,North Borneo,Kadazan
kzw,7,0.80952381,kri,Kariri,Kipea
lac,5,0.6,lac,Mayan,Lacandón
lad,1,1,lno,Romance,Ladino
lae,4,1,ptt,Bodic,Pattani
laf,2,0.5,laf,Lafofa,Lafofa
lag,2,1,lgi,Bantoid,Langi
laj,26,0.412820513,lan,Nilotic,Lango
lam,3,0.333333333,lmb,Bantoid,Lamba
lao,12,0,lao,Kam-Tai,Lao
lav,25,0.486190476,lat,Baltic,Latvian
laz,2,1,ari,Oceanic,Aribwatsa
lbe,11,0.583333333,lak,Lak-Dargwa,Lak
lbj,18,0.753968254,lad,Bodic,Ladakhi
lbu,1,0,lab,Oceanic,Labu
lbz,1,1,lrd,Tangkic,Lardil
lch,3,1,luc,Bantoid,Lucazi
lcm,4,0,tnk,Oceanic,Tungak
lea,5,0.8,leg,Bantoid,Lega
lec,6,1,lec,NA,Leko
led,7,0.571428571,ldu,Lendu,Lendu
lef,9,0.555555556,llm,Kwa,Lelemi
lep,21,0.260770975,lep,Lepcha,Lepcha
les,3,1,les,Mangbutu-Efe,Lese
lez,28,0.505952381,lez,Lezgic,Lezgian
lgg,10,0.446666667,lug,Moru-Ma'di,Lugbara
lgu,9,0.222222222,lgu,Oceanic,Longgu
lhm,3,1,lho,Bodic,Lhomi
lhu,14,0.071428571,lah,Burmese-Lolo,Lahu
lif,13,0.820512821,lim,Mahakiranti,Limbu
lil,5,1,lil,Interior Salish,Lillooet
lin,7,0.380952381,lin,Bantoid,Lingala
lis,2,0,lis,Burmese-Lolo,Lisu
lit,15,0.647619048,lit,Baltic,Lithuanian
liy,8,0.125,lnd,Ubangi,Linda
ljp,10,0.3,lmp,Lampungic,Lampung
lkr,9,0.666666667,par,Nilotic,Päri
lkt,24,0.381944444,lkt,Core Siouan,Lakhota
lln,12,0.470833333,lel,East Chadic,Lele
llp,1,0,ngu,Oceanic,Nguna
lmc,5,0.8,lml,Limilngan,Limilngan
lml,2,0.5,rag,Oceanic,Raga
lmn,9,0.444444444,lmn,Indic,Lamani
lmu,1,0,lmu,Oceanic,Lamen
lnb,3,0.333333333,mhu,Bantoid,Mbalanhu
lnj,6,0.666666667,agt,Northern Pama-Nyungan,Anguthimri
lob,1,0.333333333,lob,Southern-Central Gur,Lobi
log,4,0.333333333,lgt,Moru-Ma'di,Logoti
loj,6,0.166666667,lou,Oceanic,Lou
lol,2,0.5,mgo,Bantoid,Mongo
los,11,0.181818182,lon,Oceanic,Loniu
loy,1,1,brl,Bodic,Baragaunle
loz,2,0.5,loz,Bantoid,Lozi
lrg,7,0.714285714,lar,Laragia,Laragia
lti,4,1,let,Central Malayo-Polynesian,Leti
lua,1,1,blu,Bantoid,Bena-Lulua
lub,3,0.666666667,kil,Bantoid,Kiluba
lue,25,0.566666667,luv,Bantoid,Luvale
lug,12,0.75,lda,Bantoid,Luganda
lui,7,0.857142857,lui,California Uto-Aztecan,Luiseño
lun,9,0.666666667,lbu,Bantoid,Lunda
luo,12,0.583333333,luo,Nilotic,Luo
lus,11,0.181818182,miz,Kuki-Chin,Mizo
lut,1,1,lus,Central Salish,Lushootseed
luy,1,1,luy,Bantoid,Luyia
lvk,26,0.551282051,lav,Lavukaleve,Lavukaleve
lwm,2,1,NA,NA,NA
lwo,2,1,jlu,Nilotic,Luwo
lww,7,0.428571429,lew,Oceanic,Lewo
