1PL,אנחנו,anaxnu,_anaxnu,,,,,
1PL.POSS,שלנו,shelanu,s_elanu,,,,,
1SG,אותי,oti,_oti,,,,,
1SG,אני,ani,_ani,,,,,
1SG.POSS,שלי,sheli,s_eli,,,,,
2SG,אתה,ata,_ata,,,,,
2SG,אתה/ את,ata,_ata,at,_at,,,
2SG.POSS,שלך,shelax,shelxa,s_elak_,s_elk_a,,,
3PL,הם,hem,,,,,,
3SG,הוא,hu,hu_,,,,,
3SG,הוא/ היא,hu,hu_,hi,hi_,,,
a little,מעט,me'at,me_at_,,,,,
a lot,המון,hamon,,,,,,
above,מעל,me'al,me_al,,,,,
after,אח'כ,axka,_axka,,,,,
after,אחרי,axarey,axrey,_axarey,_axrey,,,
airplane,מטוס,matos,,,,,,
airplane,מטוס/ אווירון,matos,aviron,_awiron,,,,
all,הכל,hakol,kol,,,,,
all gone,אין,en,_eyn,,,,,
alligator,תנין,tanin,,,,,,
also,גם,gam,,,,,,
ambulance,אמבולנס,ambulans,_ambulans,,,,,
angry,כועס,ko'es,ko_es,,,,,
animal,חיה,xaya,,,,,,
ant,נמלה,nemala,,,,,,
apple,תפוח,tapuax,,,,,,
apron,סינר,sinar,,,,,,
armchair,כורסה,kursa,,,,,,
baa baa,מה מה,ma ma,,,,,,
baby,תינוק,tinok,tinoq,,,,,
baby,תינוק/ תינוקת,tinok,tinoq,tinoket,tinoqet,,,
babysitter,מטפלת,metapelet,,,,,,
babysitter,שמרטף/ בייביסיטר,shmartaf,s_martaf,beibisiter,,,,
bad,רע,ra,ra_,,,,,
bag,תיק,tik,tiq,,,,,
ball,כדור,kadur,,,,,,
balloon,בלון,balon,,,,,,
banana,בננה,banana,,,,,,
basket,סל,sal,,,,,,
bathe,לעשות אמבטיה,la'asot ambatya,la_asot _ambat_ya,,,,,
bathroom,שירותים,sherutim,s_erutim,,,,,
bathroom,שירותים/ בית שימוש,sherutim,s_erutim,beit shimush,beyt s_imu__,,,
bathtub,אמבטיה,ambatya,_ambat_ya,,,,,
beach,ים/ חוף ים,yam,xof yam,,,,,
beads,חרוזים,xaruz,xaruzim,,,,,
beans,שעועית,she'u'it,s_e_u_it,,,,,
bear,דב/ דובי,dov,dubi,,,,,
bedroom,חדר שינה,beit shena,beyt s_ena,,,,,
bedroom,מיטה,mita,mit_a,,,,,
bee,דבורה,dvora,,,,,,
beetle,חיפושית,xipushit,xipus_it,,,,,
before,לפני,lifnei,lifney,,,,,
behind,מאחורי,meaxorei,meaxorey,me_axorey,,,,
belly button,פופיק,pupik,,,,,,
belly button,פופיק/ טבור,pupik,tabur,t_abur,,,,
belt,חגורה,xagora,,,,,,
bench,ספסל,safsal,,,,,,
between,בין,ben,,,,,,
bib,סינור,sinur,,,,,,
bicycle,אופניים,ofanayim,_ofanayim,,,,,
big,גדול,gadol,,,,,,
bird,ציפור,cipor,,,,,,
bite,לנשוך,linshax,lins_ak_,,,,,
blanket,שמיכה,smixa,s_mixa,,,,,
blanket,סיר בישול,sir bishul,sir bis_ul,,,,,
bless,לברך,levarex,levarek_,,,,,
blocks,קוביה,kubim,qubim,,,,,
blow,לנשוף,linshof,lins_of,,,,,
boat,אניה,oniya,_oniya,,,,,
boat,סירה,sira,,,,,,
book,ספר,sefer,,,,,,
boots,מגפיים,magafim,,,,,,
bottle,בקבוק,bakbuk,baqbuq,,,,,
bowl,קערה,keara,qe_ara,,,,,
bowl,קערה/ קערית,keara,qe_ara,ka'arit,qa_arit,,,
box,קופסה,kufsa,qufsa,,,,,
boy,ילד,yeled,,,,,,
bread,לחם,lexem,,,,,,
break,לשבור,lishbor,lis_bor,,,,,
breast,ציצי,cici,,,,,,
bring,להביא,lihavi,,,,,,
broken,מקולקל,mekulkal,mequlqal,,,,,
broken,שבור,shavur,s_avur,,,,,
broom,מטאטא,matate,mat_ate_,,,,,
brush (action),להבריש,lihavrish,lihavris_,,,,,
brush (object),מברשת,mivreshet,mivres_et,,,,,
bubbles,בועות,bu'ot,buot,bu_ot,,,,
bucket,דלי,dli,,,,,,
bug,ג'וק,juk,djuk,_uq,,,,
bug,ג'וק/ תיקן,juk,djuk,_uq,tikan,,,
build,לבנות,livnot,,,,,,
bun,לחמניה,laxmaniya,,,,,,
bunny,שפן,shafan,s_afan,,,,,
bunny,שפן/ ארנבת,shafan,s_afan,arnevet,,,,
bus,אוטובוס,otobus,_otobus,,,,,
bus station,תחנת אוטובוס,taxanat otobus,taxanat _otobus,,,,,
bus station,תחנת אוטובוס,taxanat otobus,taxanat _otobus,,,,,
butt,טוסיק/ישבן,tusik,tusiq,yashvan,yas_van,,,
butter,מרגרינה,margarina,,,,,,
butter,מרגרינה/ חמאה,margarina,xema,xem_a,,,,
butterfly,פרפר,parpar,,,,,,
button,כפתור,kaftor,,,,,,
buy,לקנות,liknot,liqnot,,,,,
buzz,בזז,bzz,,,,,,
buzz,בזז...,bzz,,,,,,
bye,ביי,bay,,,,,,
bye,ביי/ להתראות,bay,lehitraot,,,,,
cake,עוגה,uga,_uga,,,,,
cake,עוגה/ עוגיה,uga,_uga,ugiya,_ugiya ,,,
camera,מצלמה,maclema,,,,,,
can (auxiliary),אפשר,efshar,efs_ar,,,,,
can (auxiliary),יכול,yaxol,yak_ol,,,,,
candy,ממתק,mamtak,mamtaq,,,,,
car,אוטו,oto,_ot_o,,,,,
car,אוטו/ מכונית,oto,_ot_o,mexonit,mek_onit,,,
careful,זהיר,zahir,,,,,,
carpet,שטיח,shatiax,s_atiax,,,,,
carrot,גזר,gezer,,,,,,
cat,חתול,xatul,,,,,,
catch,לתפוס,litpos,,,,,,
chair,כיסא,kise,kise_,,,,,
chalk,גיר,gir,,,,,,
change,להחליף,lehaxalif,,,,,,
chase,לרדוף,lirdof,,,,,,
cheek,לחי,lexi,,,,,,
cheek,לחי/ לחיים,lexi,lexayim,,,,,
cheese,גבינה,gvina,,,,,,
chick,אפרוח,efroax,_efroax,,,,,
chicken (food),עוף,of,'of,_of,,,,
child,ילד/ ילדה,yeled,yalda,,,,,
chin,סנטר,santer,,,,,,
chocolate,שוקולד,shokolad,s_oqolad,,,,,
choo choo,ציק ציק צאק,cik cik cak,cik cik ca_k,,,,,
choo choo,צ'יק צ'יק צ'אק,cik cik cak,cik cik ca_k,,,,,
choose,לבחור,livxor,,,,,,
church,בית כנסת,beit kneset,beyt kneset,,,,,
church,בית כנסת,beit kneset,beyt kneset,,,,,
clap,מחא כפיים,maxa kapaim,maxa_ kapaim,,,,,
clean (action),לנקות,lenakot,lenaqot,,,,,
clean (description),נקי,naki,naqi,,,,,
clementine,קלמנטינה,klementina,qlementina,,,,,
climb,לטפס,letapes,let_apes,,,,,
clock,שעון,shaun,sha'un,s_a_un,,,,
close,לסגור,lisgor,,,,,,
close,לסתום,listom,,,,,,
closet,ארון,aron,_aron,,,,,
cloud,ענן/ עננים,anan,_anan,,,,,
clown,ליצן,leican,lecan,,,,,
coat,מעיל,meil,me'il,me_il,,,,
cockadoodledoo,קוקוריקו,kukuriku,ququriqu,,,,,
coffee,קפה,kafe,qafe,,,,,
cold,קר,kar,qar,,,,,
color (action),לצבוע,licboa,licbo_a,,,,,
comb (action),לסרק,lesarek,lesareq,,,,,
comb (object),מסרק,masrek,masreq,,,,,
corn,תירס,tiras,,,,,,
couch,ספה,sapa,,,,,,
cover (action),לכסות,lekasot,lek_asot,,,,,
cow,פרה,para,,,,,,
cracker,קרקר,kraker,qraqer,,,,,
cry,לבכות,livkot,,,,,,
cucumber,מלפפון,melafefon,,,,,,
cup,כוס,kos,,,,,,
cup,כוס/ ספל,kos,sefel,,,,,
curtain,וילון,vilon,,,,,,
cut,לגזור,ligzor,,,,,,
cut,לחתוך,laxtok,laxtok_,,,,,
cute,חמוד,xamud,,,,,,
daddy,אבא,aba,_aba_,,,,,
dance,לרקוד,lirkod,lirqod,,,,,
dark,חושך,xoshek,xos_ek_,,,,,
deer,אייל,ayal,_ayal,,,,,
deer,אייל/ צבי/ במבי,ayal,_ayal,cvi,bambi,,,
descend,לרדת,laredet,,,,,,
diaper,טיטול,titul,t_it_ul,,,,,
diaper,טיטול/ חיתול,titul,t_it_ul,xitul,xit_ul,,,
dirty,מלוכלך,meluxlax,,,,,,
disgusting,מגעיל,magil,mag'il,mag_il,,,,
do,לעשות,la'asot,la_asot,,,,,
doctor,רופא,rupa,rupa_,,,,,
dog,כלב,kelev,,,,,,
doll,בובה,buba,,,,,,
don't,די,dai,,,,,,
donkey,חמור,xamor,,,,,,
door,דלת,delet,,,,,,
down,למטה,lemata,lemat_a,,,,,
drawer,מגירה,megera,,,,,,
dress (object),שמלה,simla,s_imla,,,,,
drink (action),לשתות,lishtot,lis_tot,,,,,
drive,לנהוג,linhog,,,,,,
drop,להפיל,lehapil,,,,,,
dry (action),ליבש,livosh,livos_,,,,,
dry (description),יבש,yavesh,yaves_,,,,,
duck,ברווז,barvaz,,,,,,
ear,אוזן,ozen,_ozen,,,,,
ear,אוזן/ אוזניים,ozen,_ozen,ozenim,_ozenim,,,
eat,לאכול,lekol,le_ek_ol,,,,,
egg,ביצה,beca,,,,,,
elephant,פיל,pil,,,,,,
empty,ריק,rik,riq,,,,,
enough,די,dai,,,,,,
every,כל,kol,,,,,,
everyone,כולם,kulam,,,,,,
excellent,מצויין,mecuyan,,,,,,
eye,עיין,ayin,_ayin,,,,,
eye,עין/ עיניים,ayin,_ayin,einayim,_eynayim,,,
face,פנים,panim,,,,,,
fall,ליפול,lipol,,,,,,
far,רחוק,raxok,raxoq,,,,,
fast,מהר,maher,,,,,,
fat,שמן,shemen,s_emen,,,,,
faucet,ברז,berez,,,,,,
feed,להאכיל,lehaaxil,leha_ak_il,,,,,
find,למצוא,limco,limco_,,,,,
finger,אצבעות,ecbaot,ecba'ot,ecba_ot,,,,
finish,לגמור,ligmor,,,,,,
firefighter,כבאי,kabai,kaba_i,,,,,
fish (animal),דג,dag,,,,,,
fish (food),דג,dag,,,,,,
fish (food),דג,dag,,,,,,
fit,להתאים,lehataim,lehat_aim,,,,,
fix,לתקן,letaken,letaqen,,,,,
flag,דגל,degel,,,,,,
flower,פרח,perax,,,,,,
flower pot,עציץ,acic,_acic,,,,,
fly (animal),זבוב,zvuv,,,,,,
food,אוכל,oxel,_oxel,,,,,
forehead,מצח,mecax,,,,,,
forest,חורשה,xursha,xurs_a,,,,,
fork,מזלג,mazleg,,,,,,
french fries,צ'יפס,cips,,,,,,
friend,חבר,xaver,,,,,,
friend,חבר/ חברה,xaver,xavera,,,,,
frog,צפרדע,cfardea,cfardea_,,,,,
full,מלא,male,male_,,,,,
game,משחק,mishxak,mis_xaq,,,,,
garage,חניה,xanaya,,,,,,
garage,חניה/ מוסך,xanaya,musax,musak_,,,,
garden,גן,gan,,,,,,
gas station,תחנת דלק,taxanat delek,taxanat deleq,,,,,
get up,לקום,lakum,laqum,,,,,
giraffe,ג'ירפה,girafa,_irafa,,,,,
give,לתת,latet,,,,,,
give me five,כיף/ תן כפה,kef kapah,ten kapah,,,,,
glasses,משקפיים,mishkafayim,mis_qafayim,,,,,
glove,כפפות,kfafim,,,,,,
glue (object),דבק,devek,deveq,,,,,
go eat,ללכת לאכול,lalexet leexhol,lalexet le_ek_ol,,,,,
go for a walk,ללכת לטייל,lalexet letayal,lalexet let_ayal,,,,,
go out,לצאת,lacet,lac_et,,,,,
go potty,לעשות פיפי בסיר,la'asot pipi basir,la_asot pip basir,,,,,
go to bed,ללכת לישון,lalexet lishon,lalek_et li__on,,,,,
gonna get you,לשחק תופסת,leshaxek tofeset,les_axeq tofeset,,,,,
good,טוב,tov,,,,,,
good morning,בוקר טוב,boker tov,boqer tov,,,,,
good night,לילה טוב,layla tov,,,,,,
goose,אווז,avaz,_avaz,,,,,
grandma,סבתא,savta,savta_,,,,,
grandpa,סבא,saba,saba_,,,,,
grapes,ענבים,anavim,_anavim,,,,,
grass,דשא,deshe,des_e_,,,,,
ground,אדמה,adama,_adama,,,,,
gum,מסטיק,mastik,mast_iq,,,,,
hair,שערות,se'arot,se_arot,,,,,
ham,נקניק,naknik,naqniq,,,,,
hammer,פטיש,patish,pat_i__,,,,,
hand,ידיים,yadayim,,,,,,
hand,יד/ ידיים,yad,yadayim,,,,,
happy,שמח,sameax,s_ameax,,,,,
hard,קשה,kashe,kas_e,,,,,
hat,כובע,kova,kova_,,,,,
hate,לשנוא,lisno,lis_no_,,,,,
have,יש לי,yesh li,yes_ li,,,,,
head,ראש,rosh,ro___,,,,,
hear,לשמוע,lishmoa,li_moa_,,,,,
heavy,כבד,kaved,,,,,,
hedgehog,קיפוד,kipod,qipod,,,,,
hee haw,אי אה,i a,_i _a,,,,,
hee haw,אי-אה,i a,_i _a,,,,,
helicopter,הליקופטר,helikopter,heliqopt_er,,,,,
help,לעזור,la'azor,la_azor,,,,,
here,הינה,hine,,,,,,
here,הנה,hine,,,,,,
here,כאן/ פה,kan,ka_n,po,,,,
hi,היי,hey,,,,,,
hi,היי/ שלום/ אהלן,hey,shalom,s_alom,ahlan,_ahlan,,
hide,להחביא,lehaxvi,lehaxvi_,,,,,
hide,להתחבא,lehitxabe,lehitxabe_,,,,,
high,גבוה,gavoah,,,,,,
hippopotamus,היפופוטם,hipopotam,hipopot_am,,,,,
hit,להכות,lehabot,,,,,,
hit,להכות/ להרביץ,lehabot,leharvic,,,,,
hold,להחזיק,lehaxazik,lehaxaziq,,,,,
honey,דבש,dvash,dvas_,,,,,
horse,סוס,sus,,,,,,
hose,צינור,cinor,,,,,,
hot,חם,xam,,,,,,
hot chocolate,שוקו,shoko,s_oqo,,,,,
house,בית,bayit,,,,,,
house,מעון,ma'on,ma_on,,,,,
house,בית/ הביתה,bayit,habayta,,,,,
how,איך,eyx,_eyk_,,,,,
how much,כמה,kama,,,,,,
hug,לחבק,lexabek,lexabeq,,,,,
hungry,רעב,ra'ev,ra_ev,,,,,
hurry,למהר,lemaher,,,,,,
ice cream,ארטיק,artik,_art_iq,,,,,
ice cream,ארטיק/ גלידה,artik,_art_iq,glida,,,,
in,בפנים/ בתוך,bifnim,betox,betok_,,,,
inside,בפנים,bifnim,,,,,,
jam,ריבה,riba,,,,,,
jeans,ג'ינס,gins,_iyns,,,,,
jeep,ג'יפ,gip,_iyp,,,,,
juice,מיץ,mic,,,,,,
jump,לקפוץ,likpoc,liqpoc,,,,,
keep,לשמור,lishmor,lis_mor,,,,,
key,מפתחות,maftexot,,,,,,
kick,לבעוט,livot,liv'ot,liv_ot_,,,,
kindergarten,גן (משפחתון/ פעוטון/ מעון/ גנון),gan,mishpaxton,pa'oton,pa_ot_on,ma'on,ma_on,ginun
kiss,לנשק,linshok,lins_oq,,,,,
kitchen,מטבח,mitbax,mit_bax,,,,,
knee,ברך,berex,berek_,,,,,
knee,ברך/ ברכיים,berex,berek_,birkayim,,,,
knife,סכין,sakin,,,,,,
knock,לדפוק,lidpok,lidpoq,,,,,
ladder,סולם,sulam,,,,,,
lamb,טלה,tale,,,,,,
lamp,מנורה,menora,,,,,,
last,אחרון,axaron,_axaron,,,,,
later,אחר כך,axar kax,_axar kak_,,,,,
leg,רגליים,raglayim,,,,,,
leg,רגל/ רגליים,regel,raglayim,,,,,
lick,ללקק,lelakek,lelaqeq,,,,,
light (action),להדליק,lehadlik,lehadliq,,,,,
light (object),אור,or,_or,,,,,
like,לחבב,lexabev,,,,,,
lion,אריה,arye,_arye,,,,,
lip,שפתיים,sfatayim,s_fatayim,,,,,
listen,להקשיב,lehakshiv,lehaqs_iv,,,,,
little (amount),מעט/ קצת,mat,m'at,m_at_,kcat,qcat,,
little (description),קטן,katan,qat_an,,,,,
living room,סלון,salon,,,,,,
lock (action),לנעול,linol,lin'ol,lin_ol,,,,
lollipop,סוכריה,sukariah,sukariyah,,,,,
long,ארוך,arox,_arok_,,,,,
